root;twoPass;quality;bestQuality;goodQuality;rtQuality;constantBitrate;autoAltRef;noAltRef;allowResize;columnTiling;rowTiling;threads_1;threads_2;threads_4;threads_8;threads;arnrMaxFrames_0;arnrMaxFrames_5;arnrMaxFrames_15;arnrMaxFrames;arnrStrength_0;arnrStrength_3;arnrStrength_6;arnrStrength;revision;performance;size;cpu
1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0;1;v1.3.0;156493.4;238341;3.170313
1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;1;v1.3.0;158737;238341;3.166927
1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;1;v1.3.0;158653.6;238341;3.17271
1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;1;v1.3.0;158953;238341;3.535714
1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;1;0;0;1;v1.3.0;158846.6;238341;3.413316
1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;1;0;0;1;v1.3.0;158504.8;238341;3.539077
1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0;1;v1.3.0;159075.2;238341;3.545195
1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0;1;v1.3.0;159065.6;238341;3.562106
1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1;0;0;1;v1.3.0;159049.2;238341;3.559453
1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;0;0;1;v1.3.0;159210;238341;3.528491
1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;1;0;0;1;v1.3.0;158597.6;238341;3.462597
1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;0;0;1;v1.3.0;158432.4;238341;3.540156
1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;1;0;1;v1.3.0;158614.2;238341;3.541767
1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;1;0;1;v1.3.0;158689;238341;3.530797
1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;1;0;1;v1.3.0;158771.8;238341;3.542612
1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;0;1;0;1;v1.3.0;158777.8;238341;3.532305
1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;1;0;1;v1.3.0;158686;238341;3.449774
1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0;1;v1.3.0;158578.8;238341;3.504601
1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;1;v1.3.0;158730;238341;3.421294
1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;1;0;1;v1.3.0;158516.8;238341;3.548841
1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;1;0;1;v1.3.0;158760.8;238341;3.520982
